feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source,annotation_tier,annotation_level
A15_171640,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_162314,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_164295,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_57339,Streptophyta,Viridiplantae,,Ceramide,Ceramide,Sphingolipids,MS2_diagnostic,Bronze,2
A15_55849,Basidiomycota,Fungi,,,,,none,Unidentified,0
A15_108097,Streptophyta,Viridiplantae,DGDG(18:3_18:4),DGDG,DGDG,Glycerolipids,LipidSearch,Bronze,3
A15_143486,Streptophyta,Viridiplantae,DG(20:4_30:7),DG,DG,Glycerolipids,LipidSearch,Gold,4
A15_85922,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_131877,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_137063,Streptophyta,Viridiplantae,PG(O-36:5),PG,PG,Glycerophospholipids,LipidSearch,Bronze,3
A15_35955,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_90972,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_45138,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_133573,Streptophyta,Viridiplantae,PC(17:2_18:2),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3
A15_103380,Streptophyta,Viridiplantae,PG(P-18:4_17:0),PG,PG,Glycerophospholipids,LipidSearch,Bronze,3
A15_84526,Streptophyta,Viridiplantae,PG(16:1_16:3),PG,PG,Glycerophospholipids,LipidSearch,Gold,4
A15_31334,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_212202,Streptophyta,Viridiplantae,TG(36:4_16:0)+OO:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_56365,Ascomycota,Fungi,,,,,none,Unidentified,0
A15_18732,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_199912,Streptophyta,Viridiplantae,Cer(d16:0_24:1)+O:(s),Cer,Cer,Sphingolipids,LipidSearch,Bronze,3
A15_172064,Ascomycota,Fungi,,,,,none,Unidentified,0
A15_32878,Pseudomonadota,Bacteria,,,,,none,Unidentified,0
A15_34947,Pseudomonadota,Bacteria,,,,,none,Unidentified,0
