original_header,sample_name,kingdom,phylum,class,order,family,genus,species,batch,source_phylum,ncbi_phylum,taxonomy_scope,ecological_group,taxonomy_release
sample:OE25D053POS,OE25D053POS,,,,,,,,batch_04_OE26-1POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE25DSM1988POS,OE25DSM1988POS,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus brasiliensis,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25ECOLI1POS,OE25ECOLI1POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,batch_04_OE26-1POS,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE25ECOLI2POS,OE25ECOLI2POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,batch_04_OE26-1POS,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE25ECOLI3POS,OE25ECOLI3POS,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,batch_04_OE26-1POS,Pseudomonadota,Pseudomonadota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE25ESTD1POS,OE25ESTD1POS,,,,,,,,batch_04_OE26-1POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE25F11POS,OE25F11POS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,batch_04_OE26-1POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F13POS,OE25F13POS,Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Morchella elata,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F15POS,OE25F15POS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita caesarea,batch_04_OE26-1POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F1POS,OE25F1POS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia macrospinosa,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F2POS,OE25F2POS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma flavofuscum,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F30POS,OE25F30POS,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,Schizosaccharomyces pombe,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F31POS,OE25F31POS,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,Linnemannia gamsii,batch_04_OE26-1POS,Mortierellomycota,Mortierellomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F32POS,OE25F32POS,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus oryzae,batch_04_OE26-1POS,Mucoromycota,Mucoromycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F34POS,OE25F34POS,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Cadophora,Cadophora finlandica,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F36POS,OE25F36POS,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza ostracoderma,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F37POS,OE25F37POS,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia fermentans,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F3POS,OE25F3POS,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber Sp,,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F40POS,OE25F40POS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F41POS,OE25F41POS,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Gibellulopsis,Gibellulopsis nigrescens NG,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F42POS,OE25F42POS,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Warcupia,Warcupia sp,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F45POS,OE25F45POS,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,Blastobotrys sp,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F47POS,OE25F47POS,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor hiemalis,batch_04_OE26-1POS,Mucoromycota,Mucoromycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F48POS,OE25F48POS,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Schwanniomyces,Schwanniomyces capriottii,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F4POS,OE25F4POS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Armillaria bulbosa,batch_04_OE26-1POS,Basidiomycota,Basidiomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F52POS,OE25F52POS,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F53POS,OE25F53POS,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,Cephalotrichum microsporum,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F55POS,OE25F55POS,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis vinacea,batch_04_OE26-1POS,Mucoromycota,Mucoromycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F57POS,OE25F57POS,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis ramanniana,batch_04_OE26-1POS,Mucoromycota,Mucoromycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F61POS,OE25F61POS,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Heydenia Sp.,Heydenia Sp. OE25F61POS.mzML,batch_04_OE26-1POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE25F6POS,OE25F6POS,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus oligosporus,batch_04_OE26-1POS,Mucoromycota,Mucoromycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
