formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C25H50N2O7	[M + H]+	C25H51N2O7+		0.872	21.731	21.731	0.000	6	0.468	1.159	3.118	5.423		491.372	554	9.231	875371147341229910	875355549755639880	875355549755639879	A15_94624	
1	C25H50N2O7	[M + H]+	C25H51N2O7+		0.872	21.731	21.731	0.000	6	0.468	1.159	3.118	5.423		491.372	554	9.231	875371869369698018	875367014638921589	875367014638921588	A15_94624	
1	C42H70O8	[M + H]+	C42H71O8+		0.901	44.984	44.984	0.000	10	0.529	1.917	3.008	-9.516		703.508	554	9.240	875370832600654212	875355549537536036	875355549537536035	A15_92962	
1	C42H70O8	[M + H]+	C42H71O8+		0.901	44.984	44.984	0.000	10	0.529	1.917	3.008	-9.516		703.508	554	9.240	875370845456196156	875367014471149393	875367014471149392	A15_92962	
1	C39H72N2O6	[M + K]+	C39H72KN2O6+		0.973	79.113	79.113	0.000	42	0.792	0.251	1.732	7.796		703.508	556	9.264	875370652258163339	875355549701113920	875355549701113919	A15_93958	
1	C39H72N2O6	[M + K]+	C39H72KN2O6+		0.973	79.113	79.113	0.000	42	0.792	0.251	1.732	7.796		703.508	556	9.264	875370708969348153	875367014601172845	875367014601172844	A15_93958	
1	C39H68O9	[M + H]+	C39H69O9+		1.000	191.077	191.077	0.000	38	0.730	1.220	2.493	0.123		681.494	556	9.269	875370791815241354	875355549785000012	875355549785000011	A15_94751	
1	C39H68O9	[M + H]+	C39H69O9+		1.000	191.077	191.077	0.000	38	0.730	1.220	2.493	0.123		681.494	556	9.269	875370885922841337	875367014655698809	875367014655698808	A15_94751	
1	C36H68BN5O9	[M + H]+	C36H69BN5O9+		0.498	12.088	12.088	0.000	9	0.589	3.246	3.246	-3.401		725.519	557	9.285	875370788443020910	875355549965355112	875355549965355111	A15_96915	
1	C36H68BN5O9	[M + H]+	C36H69BN5O9+		0.498	12.088	12.088	0.000	9	0.589	3.246	3.246	-3.401		725.519	557	9.285	875370697325960132	875367014781527957	875367014781527956	A15_96915	
1	C32H63N5O10	[M + H]+	C32H64N5O10+		0.390	5.645	5.645	0.000	2	0.623	9.221	9.221	6.144		678.469	557	9.291	875370701427989523	875355549654976568	875355549654976567	A15_93724	
1	C32H63N5O10	[M + H]+	C32H64N5O10+		0.390	5.645	5.645	0.000	2	0.623	9.221	9.221	6.144		678.469	557	9.291	875370792247254718	875367014563424101	875367014563424100	A15_93724	
1	C38H73NO8	[M + Na]+	C38H73NNaO8+		0.919	146.481	146.481	0.000	44	0.929	5.193	5.193	2.472		694.525	558	9.306	875370802967895897	875355549998909548	875355549998909547	A15_96958	
1	C38H73NO8	[M + Na]+	C38H73NNaO8+		0.919	146.481	146.481	0.000	44	0.929	5.193	5.193	2.472		694.525	558	9.306	875370811671076886	875367014802499481	875367014802499480	A15_96958	
1	C12H22N6O14P3S	[M + K]+	C12H22KN6O14P3S+		0.276	18.008	18.008	0.000	10	0.407	3.901	4.265	-9.362		637.970	558	9.307	875372010726133986	875355549558507560	875355549558507559	A15_93283	
1	C12H22N6O14P3S	[M + K]+	C12H22KN6O14P3S+		0.276	18.008	18.008	0.000	10	0.407	3.901	4.265	-9.362		637.970	558	9.307	875370797121036106	875367014492120917	875367014492120916	A15_93283	
1	C36H67NO5	[M + Na]+	C36H67NNaO5+		0.920	24.289	24.289	0.000	8	0.296	5.987	5.987	3.591		616.493	559	9.318	875372017600598257	875355549885663324	875355549885663323	A15_96082	
1	C36H67NO5	[M + Na]+	C36H67NNaO5+		0.920	24.289	24.289	0.000	8	0.296	5.987	5.987	3.591		616.493	559	9.318	875370814359625786	875367014727001993	875367014727001992	A15_96082	
1	C30H50O5	[M + H]+	C30H51O5+		1.000	202.360	202.360	0.000	47	0.871	2.046	2.655	-2.628		491.372	560	9.327	875370755601620437	875355550288316580	875355550288316579	A15_99126	
1	C30H50O5	[M + H]+	C30H51O5+		1.000	202.360	202.360	0.000	47	0.871	2.046	2.655	-2.628		491.372	560	9.327	875372068943074857	875367015054157777	875367015054157776	A15_99126	
1	C26H50N3O6	[M + H]+	C26H51N3O6+		1.000	133.076	133.076	0.000	23	0.812	2.237	2.237	-9.948		501.372	562	9.365	875370709506219116	875355550414145728	875355550414145727	A15_OE11-3-POS_58472	
1	C26H50N3O6	[M + H]+	C26H51N3O6+		1.000	133.076	133.076	0.000	23	0.812	2.237	2.237	-9.948		501.372	562	9.365	875370899365585939	875367015184181229	875367015184181228	A15_OE11-3-POS_58472	
1	C41H74ClN3O5S	[M + H]+	C41H75ClN3O5S+		0.297	24.426	24.426	0.000	15	0.204	8.091	8.091	8.433		756.517	563	9.389	875372108457613712	875355550200236176	875355550200236175	A15_98282	
1	C41H74ClN3O5S	[M + H]+	C41H75ClN3O5S+		0.297	24.426	24.426	0.000	15	0.204	8.091	8.091	8.433		756.517	563	9.389	875370948849985180	875367014966077373	875367014966077372	A15_98282	
1	C39H64O8	[M + H]+	C39H65O8+		0.379	21.852	21.852	0.000	6	0.554	2.834	3.892	-5.649		661.464	564	9.395	875370714140925040	875355550086989944	875355550086989943	A15_97214	
1	C39H64O8	[M + H]+	C39H65O8+		0.379	21.852	21.852	0.000	6	0.554	2.834	3.892	-5.649		661.464	564	9.395	875370719564160163	875367014857025445	875367014857025444	A15_97214	
1	C44H60O3	[M + H]+	C44H61O3+		0.923	90.965	90.965	0.000	36	0.730	1.651	2.115	9.210		637.467	565	9.416	875370883196543689	875355550028269680	875355550028269679	A15_97018	
1	C44H60O3	[M + H]+	C44H61O3+		0.923	90.965	90.965	0.000	36	0.730	1.651	2.115	9.210		637.467	565	9.416	875370919825400999	875367014819276701	875367014819276700	A15_97018	
1	C41H71N5O10	[M + H]+	C41H72N5O10+		1.000	96.959	96.959	0.000	27	0.317	-3.344	3.344	4.224		794.531	567	9.445	875370973906757782	875355550149904516	875355550149904515	A15_98145	
1	C41H71N5O10	[M + H]+	C41H72N5O10+		1.000	96.959	96.959	0.000	27	0.317	-3.344	3.344	4.224		794.531	567	9.445	875370935088473521	875367014911551409	875367014911551408	A15_98145	
1	C27H48N2O6	[M + H]+	C27H49N2O6+		0.999	117.221	117.221	0.000	23	0.599	6.205	6.205	4.064		497.361	567	9.450	875370947495224937	875355550166681736	875355550166681735	A15_98165	
1	C27H48N2O6	[M + H]+	C27H49N2O6+		0.999	117.221	117.221	0.000	23	0.599	6.205	6.205	4.064		497.361	567	9.450	875370809959800803	875367014928328629	875367014928328628	A15_98165	
1	C33H67NO4	[M + Na]+	C33H67NNaO4+		1.000	125.434	125.434	0.000	25	0.693	4.641	5.444	3.640		564.498	569	9.490	875370898224735192	875355550309288104	875355550309288103	A15_99374	
1	C33H67NO4	[M + Na]+	C33H67NNaO4+		1.000	125.434	125.434	0.000	25	0.693	4.641	5.444	3.640		564.498	569	9.490	875370920777508055	875367015075129301	875367015075129300	A15_99374	
1	C30H46O	[M + H]+	C30H47O+		0.999	54.456	54.456	0.000	12	0.644	4.882	4.882	-2.118		423.361	570	9.500	875372109342611907	875355550271539360	875355550271539359	A15_98845	
1	C30H46O	[M + H]+	C30H47O+		0.999	54.456	54.456	0.000	12	0.644	4.882	4.882	-2.118		423.361	570	9.500	875370949940504271	875367015037380557	875367015037380556	A15_98845	
1	C27H48N2O6	[M + H]+	C27H49N2O6+		0.566	26.097	26.097	0.000	13	0.700	7.767	7.767	4.209		497.361	571	9.522	875370816884596867	875355502376773288	875355502376773287	A15_100976	
