feature_id,phylum,matched,LipidMolec,LipidID,ClassKey,SubClassKey,Adduct,Grade,IDScore,tier,ls_ppm_diff,ls_rt_diff,n_samples_detected,n_candidates,IonFormula
A15_OE25-1-ALL_17722,Evosea,True,DG(O-15:1_16:1),DG(O-15:1_16:1)+NH4,DG,alkyl-acyl,M+NH4,C,0.3464132033152366,silver,0.4422156433536449,0.1151765080414382,3.0,4.0,C34 H68 N1 O4
A15_OE25-1-ALL_34191,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_20886,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_37013,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_5024,Evosea,True,LPG(19:2),LPG(19:2)+H,LPG,monoacyl,M+H,C,0.0608664785765014,bronze,0.9541461918571232,0.0055614749999999,3.0,1.0,C25 H48 O9 P1
A15_OE25-1-ALL_6868,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_25916,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_21155,Evosea,True,PG(17:2_18:2),PG(17:2_18:2)+NH4,PG,diacyl,M+NH4,A,1.1079356304785997,gold,1.7916085530373893,0.2211090000000002,2.0,6.0,C41 H77 N1 O10 P1
A15_46792,Arthropoda,True,LPC(P-17:1),LPC(P-17:1)+H,LPC,monoalkenyl,M+H,C,1.5075924366357454,silver,0.8132940089318347,0.0356355411660782,4.0,2.0,C25 H51 N1 O6 P1
A15_OE25-1-ALL_33014,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_27770,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_30462,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_9400,Evosea,True,PG(P-7:0_19:1),PG(P-7:0_19:1)+NH4,PG,alkenyl-acyl,M+NH4,C,0.044911720296735,bronze,0.6569116907599051,0.0756918999999998,1.0,2.0,C32 H65 N1 O9 P1
A15_OE25-1-ALL_29278,Evosea,True,TG(39:1),TG(39:1)+H,TG,triacyl,M+H,C,0.0409159663543832,bronze,0.0425079237887721,0.1140668333333323,3.0,1.0,C42 H79 O6
A15_176996,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17388,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_31566,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_21145,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_16562,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_21446,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_40679,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17927,Evosea,False,,,,,,,,,,,,,
A15_177017,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33765,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_11296,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_9611,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_42690,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_21006,Evosea,True,PS(32:2),PS(32:2)+H,PS,diacyl,M+H,C,0.7148642064108828,silver,0.7286213574358871,0.1411429999999995,3.0,3.0,C38 H71 N1 O10 P1
A15_OE25-1-ALL_35122,Evosea,False,,,,,,,,,,,,,
A15_156462,Mollusca,False,,,,,,,,,,,,,
A15_153502,Chlorophyta,False,,,,,,,,,,,,,
A15_OE25-1-ALL_19369,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17329,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_30152,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17319,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_21272,Evosea,False,,,,,,,,,,,,,
A15_143891,Nematoda,False,,,,,,,,,,,,,
A15_25729,Mollusca,True,PC(20:0),PC(20:0)+H,PC,diacyl,M+H,C,2.1549373710811563,bronze,1.8556651996301532,0.2207919,1.0,1.0,C28 H57 N1 O8 P1
A15_OE25-1-ALL_30769,Evosea,False,,,,,,,,,,,,,
A15_223864,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34351,Evosea,False,,,,,,,,,,,,,
A15_199487,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_29122,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_42168,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_33175,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_31601,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_21009,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_17546,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_27982,Evosea,True,PI(O-34:2),PI(O-34:2)+H,PI,alkyl-acyl,M+H,C,0.4911659085619835,silver,2.040674809114168,0.0879417068965509,2.0,2.0,C43 H82 O12 P1
A15_OE25-1-ALL_16624,Evosea,True,PG(20:5_16:2),PG(20:5_16:2)+Na,PG,diacyl,M+Na,C,0.1419423344105178,bronze,0.4674656114484844,0.1156699999999997,1.0,1.0,C42 H69 Na1 O10 P1
A15_182072,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_37066,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_19961,Evosea,True,PG(16:2_17:1),PG(16:2_17:1)+H,PG,diacyl,M+H,C,0.1499580493742155,bronze,1.0293908274101695,0.0617119999999999,1.0,2.0,C39 H72 O10 P1
A15_OE25-1-ALL_3372,Evosea,True,WE(O-19:2),WE(O-19:2)+Na,WE,Wax monoesters,M+Na,C,0.2121443872606516,bronze,0.9388119347496912,0.0261450419725357,1.0,1.0,C19 H34 Na1 O2
A15_OE25-1-ALL_10595,Evosea,False,,,,,,,,,,,,,
A15_82363,Chlorophyta,False,,,,,,,,,,,,,
A15_222759,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_35783,Evosea,False,,,,,,,,,,,,,
A15_OE25-1-ALL_15353,Evosea,False,,,,,,,,,,,,,
A15_224986,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_34519,Evosea,False,,,,,,,,,,,,,
A15_70604,Arthropoda,True,LPE(18:0),LPE(18:0)+H,LPE,monoacyl,M+H,A,0.754712563636667,gold,0.1258174718103736,0.0611816675152576,4.0,4.0,C23 H49 N1 O7 P1
A15_18762,Arthropoda,False,,,,,,,,,,,,,
A15_59162,Mollusca,False,,,,,,,,,,,,,
A15_OE25-1-ALL_30876,Evosea,False,,,,,,,,,,,,,
A15_167980,Mollusca,False,,,,,,,,,,,,,
