mode,phylum_1,phylum_2,group_1,group_2,rank_1,rank_2,n_detected_1,n_detected_2,n_shared,frac_of_smaller,jaccard
NEG,Pseudomonadota,Thermoproteota,Bacteria,Archaea,3,5,2443,413,99,0.2397,0.0359
NEG,Pseudomonadota,Discosea,Bacteria,Protists,3,6,2443,1975,684,0.3463,0.1832
NEG,Pseudomonadota,Evosea,Bacteria,Protists,3,7,2443,1521,651,0.428,0.1965
NEG,Pseudomonadota,Heterolobosea,Bacteria,Protists,3,8,2443,992,191,0.1925,0.0589
NEG,Pseudomonadota,Mucoromycota,Bacteria,Fungi,3,9,2443,3143,508,0.2079,0.1
NEG,Pseudomonadota,Ascomycota,Bacteria,Fungi,3,10,2443,10640,1889,0.7732,0.1688
NEG,Pseudomonadota,Basidiomycota,Bacteria,Fungi,3,11,2443,9212,1388,0.5682,0.1352
NEG,Pseudomonadota,Chlorophyta,Bacteria,Viridiplantae,3,12,2443,8605,1351,0.553,0.1393
NEG,Pseudomonadota,Streptophyta,Bacteria,Viridiplantae,3,13,2443,11160,1854,0.7589,0.1578
NEG,Pseudomonadota,Arthropoda,Bacteria,Animalia,3,14,2443,11033,1652,0.6762,0.1397
NEG,Pseudomonadota,Mollusca,Bacteria,Animalia,3,15,2443,5362,860,0.352,0.1238
NEG,Pseudomonadota,Nematoda,Bacteria,Animalia,3,16,2443,4168,982,0.402,0.1745
NEG,Methanobacteriota,Thermoproteota,Archaea,Archaea,4,5,1843,413,200,0.4843,0.0973
NEG,Methanobacteriota,Discosea,Archaea,Protists,4,6,1843,1975,393,0.2132,0.1147
NEG,Methanobacteriota,Evosea,Archaea,Protists,4,7,1843,1521,212,0.1394,0.0673
NEG,Methanobacteriota,Heterolobosea,Archaea,Protists,4,8,1843,992,324,0.3266,0.129
NEG,Methanobacteriota,Mucoromycota,Archaea,Fungi,4,9,1843,3143,486,0.2637,0.108
NEG,Methanobacteriota,Ascomycota,Archaea,Fungi,4,10,1843,10640,1572,0.853,0.1441
NEG,Methanobacteriota,Basidiomycota,Archaea,Fungi,4,11,1843,9212,1314,0.713,0.1349
NEG,Methanobacteriota,Chlorophyta,Archaea,Viridiplantae,4,12,1843,8605,1100,0.5969,0.1177
NEG,Methanobacteriota,Streptophyta,Archaea,Viridiplantae,4,13,1843,11160,1417,0.7689,0.1223
NEG,Methanobacteriota,Arthropoda,Archaea,Animalia,4,14,1843,11033,1368,0.7423,0.1189
NEG,Methanobacteriota,Mollusca,Archaea,Animalia,4,15,1843,5362,882,0.4786,0.1395
NEG,Methanobacteriota,Nematoda,Archaea,Animalia,4,16,1843,4168,705,0.3825,0.1329
NEG,Thermoproteota,Discosea,Archaea,Protists,5,6,413,1975,54,0.1308,0.0231
NEG,Thermoproteota,Evosea,Archaea,Protists,5,7,413,1521,49,0.1186,0.026
NEG,Thermoproteota,Heterolobosea,Archaea,Protists,5,8,413,992,17,0.0412,0.0122
NEG,Thermoproteota,Mucoromycota,Archaea,Fungi,5,9,413,3143,45,0.109,0.0128
NEG,Thermoproteota,Ascomycota,Archaea,Fungi,5,10,413,10640,294,0.7119,0.0273
NEG,Thermoproteota,Basidiomycota,Archaea,Fungi,5,11,413,9212,274,0.6634,0.0293
NEG,Thermoproteota,Chlorophyta,Archaea,Viridiplantae,5,12,413,8605,316,0.7651,0.0363
NEG,Thermoproteota,Streptophyta,Archaea,Viridiplantae,5,13,413,11160,373,0.9031,0.0333
NEG,Thermoproteota,Arthropoda,Archaea,Animalia,5,14,413,11033,285,0.6901,0.0255
NEG,Thermoproteota,Mollusca,Archaea,Animalia,5,15,413,5362,195,0.4722,0.0349
NEG,Thermoproteota,Nematoda,Archaea,Animalia,5,16,413,4168,192,0.4649,0.0437
NEG,Discosea,Evosea,Protists,Protists,6,7,1975,1521,930,0.6114,0.3624
NEG,Discosea,Heterolobosea,Protists,Protists,6,8,1975,992,302,0.3044,0.1133
NEG,Discosea,Mucoromycota,Protists,Fungi,6,9,1975,3143,650,0.3291,0.1455
NEG,Discosea,Ascomycota,Protists,Fungi,6,10,1975,10640,1539,0.7792,0.1389
NEG,Discosea,Basidiomycota,Protists,Fungi,6,11,1975,9212,1055,0.5342,0.1041
NEG,Discosea,Chlorophyta,Protists,Viridiplantae,6,12,1975,8605,1188,0.6015,0.1265
NEG,Discosea,Streptophyta,Protists,Viridiplantae,6,13,1975,11160,1234,0.6248,0.1037
NEG,Discosea,Arthropoda,Protists,Animalia,6,14,1975,11033,1510,0.7646,0.1313
NEG,Discosea,Mollusca,Protists,Animalia,6,15,1975,5362,893,0.4522,0.1386
NEG,Discosea,Nematoda,Protists,Animalia,6,16,1975,4168,913,0.4623,0.1746
NEG,Evosea,Heterolobosea,Protists,Protists,7,8,1521,992,83,0.0837,0.0342
NEG,Evosea,Mucoromycota,Protists,Fungi,7,9,1521,3143,347,0.2281,0.0804
NEG,Evosea,Ascomycota,Protists,Fungi,7,10,1521,10640,1190,0.7824,0.1085
NEG,Evosea,Basidiomycota,Protists,Fungi,7,11,1521,9212,864,0.568,0.0875
NEG,Evosea,Chlorophyta,Protists,Viridiplantae,7,12,1521,8605,891,0.5858,0.0965
NEG,Evosea,Streptophyta,Protists,Viridiplantae,7,13,1521,11160,1033,0.6792,0.0887
NEG,Evosea,Arthropoda,Protists,Animalia,7,14,1521,11033,1170,0.7692,0.1028
NEG,Evosea,Mollusca,Protists,Animalia,7,15,1521,5362,749,0.4924,0.1221
NEG,Evosea,Nematoda,Protists,Animalia,7,16,1521,4168,735,0.4832,0.1484
NEG,Heterolobosea,Mucoromycota,Protists,Fungi,8,9,992,3143,796,0.8024,0.2384
NEG,Heterolobosea,Ascomycota,Protists,Fungi,8,10,992,10640,940,0.9476,0.0879
NEG,Heterolobosea,Basidiomycota,Protists,Fungi,8,11,992,9212,707,0.7127,0.0744
NEG,Heterolobosea,Chlorophyta,Protists,Viridiplantae,8,12,992,8605,339,0.3417,0.0366
NEG,Heterolobosea,Streptophyta,Protists,Viridiplantae,8,13,992,11160,440,0.4435,0.0376
NEG,Heterolobosea,Arthropoda,Protists,Animalia,8,14,992,11033,419,0.4224,0.0361
NEG,Heterolobosea,Mollusca,Protists,Animalia,8,15,992,5362,160,0.1613,0.0258
NEG,Heterolobosea,Nematoda,Protists,Animalia,8,16,992,4168,154,0.1552,0.0308
NEG,Mucoromycota,Ascomycota,Fungi,Fungi,9,10,3143,10640,2928,0.9316,0.2697
NEG,Mucoromycota,Basidiomycota,Fungi,Fungi,9,11,3143,9212,2423,0.7709,0.244
NEG,Mucoromycota,Chlorophyta,Fungi,Viridiplantae,9,12,3143,8605,1551,0.4935,0.1521
NEG,Mucoromycota,Streptophyta,Fungi,Viridiplantae,9,13,3143,11160,2151,0.6844,0.177
NEG,Mucoromycota,Arthropoda,Fungi,Animalia,9,14,3143,11033,1982,0.6306,0.1625
NEG,Mucoromycota,Mollusca,Fungi,Animalia,9,15,3143,5362,967,0.3077,0.1283
NEG,Mucoromycota,Nematoda,Fungi,Animalia,9,16,3143,4168,761,0.2421,0.1162
NEG,Ascomycota,Basidiomycota,Fungi,Fungi,10,11,10640,9212,7822,0.8491,0.6502
NEG,Ascomycota,Chlorophyta,Fungi,Viridiplantae,10,12,10640,8605,6052,0.7033,0.4587
NEG,Ascomycota,Streptophyta,Fungi,Viridiplantae,10,13,10640,11160,8190,0.7697,0.6018
NEG,Ascomycota,Arthropoda,Fungi,Animalia,10,14,10640,11033,8190,0.7697,0.6074
