feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier
A15_138675,829.555432,13.0888,5,Discosea,Protists,7,24,1.0,0.2258,0.8471,3.521,13604920.4,1183963.0,2,1.0,62.29,7,2,Silver,Silver
A15_144628,816.551219,13.6995,3,Discosea,Protists,6,12,0.8571,0.3333,0.9236,2.224,261417.7,55187.5,2,1.0,60.11,7,2,Silver,Silver
A15_199127,802.738493,18.581,4,Heterolobosea,Protists,5,5,1.0,0.5,0.9686,3.712,2886036.6,219241.0,2,1.0,72.11,5,2,Silver,Silver
A15_208646,803.741146,19.7265,3,Heterolobosea,Protists,5,6,1.0,0.4545,0.9623,2.417,345379.8,63844.5,2,1.0,68.09,5,2,Silver,Silver
A15_150859,676.52436,14.2869,4,Heterolobosea,Protists,5,8,1.0,0.3846,0.9497,2.97,6001653.0,765220.2,2,1.0,66.97,5,2,Silver,Silver
A15_146551,689.527569,13.993,4,Heterolobosea,Protists,5,12,1.0,0.2941,0.9245,4.025,1155565.2,70061.6,2,1.0,66.12,5,2,Silver,Silver
A15_183178,721.548137,17.1547,4,Heterolobosea,Protists,5,24,1.0,0.1724,0.8491,5.12,978562.4,27162.5,2,1.0,63.9,5,2,Silver,Silver
A15_138637,728.557216,13.4224,4,Heterolobosea,Protists,5,27,1.0,0.1562,0.8302,5.286,2955187.0,74777.5,2,1.0,63.56,5,2,Silver,Silver
A15_149530,702.541658,14.3784,5,Heterolobosea,Protists,5,33,1.0,0.1316,0.7925,5.377,20957550.6,503505.0,2,1.0,62.62,5,2,Silver,Silver
A15_133944,778.589009,13.0201,4,Heterolobosea,Protists,5,18,1.0,0.2174,0.8868,2.693,364233.4,55472.4,2,1.0,60.78,5,2,Silver,Silver
A15_50264,535.397083,5.3202,5,Methanobacteriota,Archaea,14,18,0.875,0.4375,0.8784,4.198,632844.9,33531.3,3,1.0,67.18,16,3,Silver,Silver
A15_44629,535.396671,5.0998,4,Methanobacteriota,Archaea,12,17,0.75,0.4138,0.8851,5.494,598921.0,12310.5,3,1.0,66.0,16,3,Silver,Silver
A15_217526,833.753589,20.655,3,Methanobacteriota,Archaea,10,5,0.625,0.6667,0.9662,3.479,2094952.9,186915.4,2,0.6667,62.25,16,3,Silver,Silver
A15_21066,459.321977,3.0418,3,Methanobacteriota,Archaea,8,7,0.5,0.5333,0.9527,6.777,445725.8,3072.7,2,0.6667,61.58,16,3,Silver,Silver
A15_122289,704.48659,11.9253,5,Pseudomonadota,Bacteria,8,21,1.0,0.2759,0.8654,2.03,83925.8,19797.0,3,1.0,60.99,8,3,Silver,Silver
